"","organ","immune_annotation","age_group","cell_type_count","organ_cell_count","normalized_prop"
"817","Muscle","CD4+ naive T cells","23_months",98,120445,0.000813649383536054
"818","Muscle","CD8+ Gzmb+ cytotoxic T cells","06_months",1,123664,8.08642773968172e-06
"819","Muscle","CD8+ Gzmb+ cytotoxic T cells","12_months",1,107454,9.3063078154373e-06
"820","Muscle","CD8+ Gzmb+ cytotoxic T cells","16_months",1,65995,1.51526630805364e-05
"821","Muscle","CD8+ Gzmb+ cytotoxic T cells","23_months",1,120445,8.30254472995973e-06
"822","Muscle","CD8+ Gzmk+ cytotoxic T cells","06_months",4,123664,3.23457109587269e-05
"823","Muscle","CD8+ Gzmk+ cytotoxic T cells","12_months",17,107454,0.000158207232862434
"824","Muscle","CD8+ Gzmk+ cytotoxic T cells","16_months",63,65995,0.000954617774073794
"825","Muscle","CD8+ Gzmk+ cytotoxic T cells","23_months",75,120445,0.00062269085474698
"826","Muscle","CD8+ naive T cells","03_months",3,51422,5.83407879895764e-05
"827","Muscle","CD8+ naive T cells","06_months",12,123664,9.70371328761806e-05
"828","Muscle","CD8+ naive T cells","12_months",10,107454,9.3063078154373e-05
"829","Muscle","CD8+ naive T cells","16_months",36,65995,0.000545495870899311
"830","Muscle","CD8+ naive T cells","23_months",49,120445,0.000406824691768027
"831","Muscle","CD8+ tissue-resident memory T cells","03_months",6,51422,0.000116681575979153
"832","Muscle","CD8+ tissue-resident memory T cells","06_months",7,123664,5.6604994177772e-05
"833","Muscle","CD8+ tissue-resident memory T cells","12_months",15,107454,0.00013959461723156
"834","Muscle","CD8+ tissue-resident memory T cells","16_months",23,65995,0.000348511250852337
"835","Muscle","CD8+ tissue-resident memory T cells","23_months",23,120445,0.000190958528789074
"836","Muscle","Epb41l3+ double negative cells","03_months",1,51422,1.94469293298588e-05
"837","Muscle","Epb41l3+ double negative cells","12_months",1,107454,9.3063078154373e-06
"838","Muscle","Gammadelta T cells","03_months",4,51422,7.77877173194353e-05
"839","Muscle","Gammadelta T cells","06_months",17,123664,0.000137469271574589
"840","Muscle","Gammadelta T cells","12_months",37,107454,0.00034433338917118
"841","Muscle","Gammadelta T cells","16_months",18,65995,0.000272747935449655
"842","Muscle","Gammadelta T cells","23_months",84,120445,0.000697413757316618
"843","Muscle","Liver-resident T cells","16_months",1,65995,1.51526630805364e-05
"844","Muscle","Liver-resident T cells","23_months",1,120445,8.30254472995973e-06
