"","03_months-Prkdc","03_months-Rag","03_months-WT","06_months-WT","12_months-WT","16_months-Prkdc","16_months-Rag","16_months-WT","23_months-WT","cell_type_id","pval_WT_03_06","qval_WT_03_06","pval_WT_06_12","qval_WT_06_12","pval_WT_12_16","qval_WT_12_16","pval_WT_16_23","qval_WT_16_23","pval_WT_03_16","qval_WT_03_16","pval_WT_06_23","qval_WT_06_23","qval_WT_03_16_corrected","qval_WT_06_23_corrected","LFC_16_over_03_WT","LFC_23_over_06_WT"
"166",0.00294262302116745,0.00280017598162245,0.0116163415442749,0.00475504639464162,0.00863913567940125,0.00165924843938785,0.00470373627595975,0.0307310585091788,0.0166410152241189,"Lymphoid cells-Muscle",3.64746997614446e-49,1.27661449165056e-48,1.91764954848641e-24,1.00676601295536e-23,8.58075509796018e-62,9.00979285285819e-61,3.45045064663128e-60,3.62297317896285e-59,0.0218353869566691,0.0305695417393367,1.16215538300491e-171,2.44052630431031e-170,0.02681234072888,6.17233636751496e-171,1.40346443822411,1.80699545010799
"167",0.000624650537835492,0.000561144949897657,0.000739471688421626,0.000606207328762837,0.000449398602278577,0.000212951678603807,0.000299807240677332,0.000314973078343766,0.000169986038967104,"Mirg positive cells-Muscle",0.904845803115635,0.950088093271417,0.0152207377272997,0.0290577720248448,0.739141151608963,0.776098209189411,0.0286834013861752,0.0463347253161292,0.0004322964363754,0.000825293196716673,1.56897710468126e-08,2.53450147679281e-08,0.000590393418821261,2.6977376116462e-08,-1.22864293322162,-1.82831066996467
"168",0.076137753703804,0.07769711077209,0.0761113683238201,0.0714283877700548,0.0813256586174657,0.0872611225026168,0.0820991859410235,0.0862808712834918,0.0733853867223414,"Mural cells-Muscle",2.13090195351576e-07,4.97210455820344e-07,5.99278866200758e-20,2.09747603170265e-19,0.000948265995588042,0.00248919823841861,1.53227028242128e-20,6.43553518616938e-20,0.000193989672625626,0.000407378312513814,0.0828535613658133,0.0966624882601155,0.000271131764663886,0.0995075435498964,0.180926554109831,0.0389947100658969
"169",0.0178493681216265,0.01849355302053,0.0152655415301122,0.0161097600493133,0.0150816840249253,0.0139907019748461,0.0121177587517996,0.0140765325661574,0.0113412895596951,"Muscle satellite cells-Muscle",0.715853053217721,0.939557132348259,0.907543648820722,0.952920831261758,3.19067342684059e-05,9.57202028052176e-05,1.78640028974034e-05,3.75144060845472e-05,0.0404912829925759,0.0531448089277558,2.1216068319017e-21,5.56921793374196e-21,0.04912394231079,4.97121600808339e-21,-0.116978783846987,-0.506312664206232
"170",0.0109383308960946,0.0110007485296783,0.012445400736475,0.0127969699087094,0.012252759729673,0.0140133004070781,0.0103870173176638,0.0114515785378321,0.0109823546730826,"Myelinating Schwann cells-Muscle",0.0699959804093009,0.122492965716277,0.00207429548351183,0.00435602051537485,0.856057767227543,0.856057767227543,0.0322356157932405,0.0483534236898608,0.000808208190532358,0.00141436433343163,7.29903782263136e-06,1.0948556733947e-05,0.00109130936461714,1.12546454168316e-05,-0.120056146109742,-0.220596211820372
"171",0.000656479278460569,0.0020532122404139,0.000744389108384779,0.00233964089128429,0.00231239600539422,0.000706643770281183,0.000260282221733477,0.00132249772559217,0.0011971663337338,"Myeloid cells_Mast cells-Muscle",1.22183435135949e-16,3.20731517231867e-16,0.279144719064782,0.366377443772526,0.00357199642188807,0.00750119248596494,0.56680282390278,0.672005561625767,0.0132484947401153,0.019872742110173,3.17902476685802e-11,6.06904728218349e-11,0.0164916158483727,6.12731386515376e-11,0.828290071895433,-0.96607540636337
"172",0.040284541017352,0.102884756603104,0.0543891877556412,0.0327025221608071,0.0357196475120869,0.0279652554579966,0.0358231914498839,0.0300678599413589,0.042709425452478,"Myeloid cells-Muscle",2.33845338513779e-77,1.63691736959645e-76,6.5455858818758e-06,1.96367576456274e-05,2.21523830554435e-14,7.75333406940524e-14,8.25390094030273e-40,5.77773065821191e-39,1.63314501172757e-53,1.71480226231395e-52,5.53876531017732e-35,1.93856785856206e-34,7.22817884820164e-53,1.55737048133221e-34,-0.855076236742868,0.385142247236809
"173",0.00846544369205795,0.00775406570945731,0.0096338355461752,0.0108632025263802,0.0127292499312343,0.0158332552208245,0.0134319242013696,0.0143367219063125,0.0146178058575702,"Myotendinous junction myonuclei-Muscle",0.0323616857323614,0.0617814000345081,0.00039692196089845,0.00104192014735843,0.0018433655316102,0.00430118624042381,0.502648813304866,0.659726567462636,4.72927148402882e-09,1.65524501941009e-08,2.51114478159268e-15,5.27340404134462e-15,8.49846529836758e-09,5.1296034427406e-15,0.573483868186196,0.42824318991377
"174",0.00189945419744318,0.00164847522476349,0.002044741417259,0.00227442418384473,0.00217760316177597,0.00246043983537414,0.00264239088274684,0.00263695051574858,0.00258999918353161,"Neuromuscular junction myonuclei-Muscle",0.139485366022289,0.225322514343697,0.371415252602637,0.433317794703077,0.0135467785343313,0.0237068624350797,0.4780145450589,0.659726567462636,0.00388640654989345,0.00627804134982787,0.161896461183075,0.178938193939188,0.00510357783200293,0.18692393344326,0.366793702677304,0.187373043771483
"175",0.00350617693648464,0.00372228110097891,0.00372572184216927,0.00354238652920461,0.00320850366935885,0.00335110498062511,0.00286825348689015,0.00337411993441661,0.00380500838155728,"Non-myelinating Schwann cells-Muscle",0.868794662092576,0.950088093271417,0.024271554883804,0.0424752210466569,0.240279061378944,0.315366268059864,0.586577317658607,0.672005561625767,0.186253495713501,0.217295744999084,0.465061420837673,0.465061420837673,0.212988447251324,0.512210504977898,-0.142968373100335,0.103149888730329
"176",5.36763682296818e-05,0,0,0,0,0,2.56568144499179e-05,1.33440085401655e-05,6.69523299410819e-06,"Osteoblasts-Muscle",0.999999999474558,0.999999999474558,0.999999999628456,0.999999999628456,0.669825347026354,0.776098209189411,0.608005031947123,0.672005561625767,0.945037821114748,0.945037821114748,0.264273118240532,0.277486774152558,0.957051013756037,0.29377337329994,3.8423763471613,2.94396500873096
"177",0.0147479150395452,0.0174248176055052,0.0179283835923547,0.0112115765586352,0.0103429769814303,0.0109368771043569,0.00754586368808995,0.0114472545257992,0.00767458988113249,"Tenocytes-Muscle",1.27540422791362e-26,3.82621268374086e-26,0.052908995439101,0.0854683772477786,0.711805780119461,0.776098209189411,2.47336548611116e-13,8.65677920138904e-13,7.64434691325834e-24,4.01328212946063e-23,3.65799800671564e-18,8.5353286823365e-18,2.05280776659409e-23,7.80590646075927e-18,-0.647198237006643,-0.546768302557247
"178",0.0110492065536003,0.0068424477314326,0.0113481392267829,0.00980895877998557,0.00955124032684032,0.0108910196423664,0.0169655159860238,0.00948294083021264,0.0117389205946397,"Type I myonuclei-Muscle",0.813376136588144,0.950088093271417,0.000552993531147843,0.00129031823934497,0.127323100522892,0.178252340732048,0.9654654233451,0.9654654233451,7.40515171129205e-07,2.22154551338761e-06,0.0020777596771611,0.00272705957627394,1.22904948541583e-06,0.00275880312689724,-0.259024313680512,0.259103670941249
"179",0.429785072421898,0.362260751062661,0.429808114564689,0.496788461222575,0.452958812717058,0.484569550677594,0.514699342782828,0.447689316909845,0.459053038855416,"Type II myonuclei-Muscle",1.66716245611548e-79,1.75052057892126e-78,5.05349714468069e-34,3.53744800127648e-33,0.0134705768719565,0.0237068624350797,5.8774644325756e-07,1.37140836760097e-06,1.76491206927048e-32,1.23543844848933e-31,9.42619600178496e-35,2.82785880053549e-34,5.47810369552784e-32,2.61960563305419e-34,0.0588050375492517,-0.113970574284801
"180",0.191456418210917,0.167696443331798,0.177948111575107,0.140962110725039,0.166373316046,0.193258950878845,0.147233798657584,0.185648793987381,0.165165132574901,"Vascular endothelial cells-Muscle",3.15841178888882e-97,6.63266475666652e-96,3.88927691875639e-52,4.08374076469421e-51,3.04778217207773e-28,2.13344752045441e-27,6.97049089118365e-33,3.65950771787142e-32,0.400015409424788,0.442122294627398,5.56799279256494e-46,2.92319621609659e-45,0.43654649704349,1.72824711353639e-45,0.0611189841602781,0.228600224891164
